site,host,canonical_url,category,prior_status,compilation_status,selected_distinct_texts,discord_urls,fresh_responses_saved,fresh_read_failures_or_redirects,specific_prior_gap_remains,limitations,prior_evidence,scope
kfu,wikiservice.at,https://www.wikiservice.at/kfu/wiki.cgi,wikis,remote_inventory_only_gap,selected_agent_related_text_preserved,427,12,12,0,True,"[""Keyword hits do not establish autonomous authorship or current activity."", ""Copies in investigator repositories are provenance layers, not independent observations."", ""Only named saved material was searched; deleted, private, unenumerated and uncaptured pages can be missing."", ""Only saved inventory/research references inspected here; remote bodies not searched during this pass. File count is not page count or completed crawl proof."", ""content_or_template quality means non-blocked text, not a verified substantive page; metadata and secondary notes remain separate.""]","[""research-workspaces/chennai/.context/hunt-20260905/devbox/directory-inventory.json""]",selected artifacts and existing public subsets; whole-site completeness not established
lions,wikiservice.at,https://www.wikiservice.at/lions/wiki.cgi,wikis,remote_inventory_only_gap,selected_agent_related_text_preserved,427,12,12,0,True,"[""Keyword hits do not establish autonomous authorship or current activity."", ""Copies in investigator repositories are provenance layers, not independent observations."", ""Only named saved material was searched; deleted, private, unenumerated and uncaptured pages can be missing."", ""Only saved inventory/research references inspected here; remote bodies not searched during this pass. File count is not page count or completed crawl proof."", ""content_or_template quality means non-blocked text, not a verified substantive page; metadata and secondary notes remain separate.""]","[""research-workspaces/chennai/.context/hunt-20260905/devbox/directory-inventory.json""]",selected artifacts and existing public subsets; whole-site completeness not established
lotr,wikiservice.at,https://www.wikiservice.at/lotr/wiki.cgi,wikis,remote_inventory_only_gap,selected_agent_related_text_preserved,427,12,12,0,True,"[""Keyword hits do not establish autonomous authorship or current activity."", ""Copies in investigator repositories are provenance layers, not independent observations."", ""Only named saved material was searched; deleted, private, unenumerated and uncaptured pages can be missing."", ""Only saved inventory/research references inspected here; remote bodies not searched during this pass. File count is not page count or completed crawl proof."", ""content_or_template quality means non-blocked text, not a verified substantive page; metadata and secondary notes remain separate.""]","[""research-workspaces/chennai/.context/hunt-20260905/devbox/directory-inventory.json""]",selected artifacts and existing public subsets; whole-site completeness not established
nausner,wikiservice.at,https://www.wikiservice.at/nausner/wiki.cgi,wikis,remote_inventory_only_gap,selected_agent_related_text_preserved,427,12,12,0,True,"[""Keyword hits do not establish autonomous authorship or current activity."", ""Copies in investigator repositories are provenance layers, not independent observations."", ""Only named saved material was searched; deleted, private, unenumerated and uncaptured pages can be missing."", ""Only saved inventory/research references inspected here; remote bodies not searched during this pass. File count is not page count or completed crawl proof."", ""content_or_template quality means non-blocked text, not a verified substantive page; metadata and secondary notes remain separate.""]","[""research-workspaces/chennai/.context/hunt-20260905/devbox/directory-inventory.json""]",selected artifacts and existing public subsets; whole-site completeness not established
sinn,wikiservice.at,https://www.wikiservice.at/sinn/wiki.cgi,wikis,remote_inventory_only_gap,selected_agent_related_text_preserved,427,12,12,0,True,"[""Keyword hits do not establish autonomous authorship or current activity."", ""Copies in investigator repositories are provenance layers, not independent observations."", ""Only named saved material was searched; deleted, private, unenumerated and uncaptured pages can be missing."", ""Only saved inventory/research references inspected here; remote bodies not searched during this pass. File count is not page count or completed crawl proof."", ""content_or_template quality means non-blocked text, not a verified substantive page; metadata and secondary notes remain separate.""]","[""research-workspaces/chennai/.context/hunt-20260905/devbox/directory-inventory.json""]",selected artifacts and existing public subsets; whole-site completeness not established
prowiki,wikiservice.at,https://www.wikiservice.at/prowiki/wiki.cgi,wikis,remote_inventory_only_gap,selected_agent_related_text_preserved,427,12,12,0,True,"[""Keyword hits do not establish autonomous authorship or current activity."", ""Copies in investigator repositories are provenance layers, not independent observations."", ""Only named saved material was searched; deleted, private, unenumerated and uncaptured pages can be missing."", ""Only saved inventory/research references inspected here; remote bodies not searched during this pass. File count is not page count or completed crawl proof."", ""content_or_template quality means non-blocked text, not a verified substantive page; metadata and secondary notes remain separate.""]","[""research-workspaces/chennai/.context/hunt-20260905/devbox/directory-inventory.json""]",selected artifacts and existing public subsets; whole-site completeness not established
support,wikiservice.at,https://www.wikiservice.at/support/wiki.cgi,wikis,remote_inventory_only_gap,selected_agent_related_text_preserved,427,12,12,0,True,"[""Keyword hits do not establish autonomous authorship or current activity."", ""Copies in investigator repositories are provenance layers, not independent observations."", ""Only named saved material was searched; deleted, private, unenumerated and uncaptured pages can be missing."", ""Only saved inventory/research references inspected here; remote bodies not searched during this pass. File count is not page count or completed crawl proof."", ""content_or_template quality means non-blocked text, not a verified substantive page; metadata and secondary notes remain separate.""]","[""research-workspaces/chennai/.context/hunt-20260905/devbox/directory-inventory.json""]",selected artifacts and existing public subsets; whole-site completeness not established
wikiservice,wikiservice.at,https://www.wikiservice.at/wiki.cgi,wikis,remote_inventory_only_gap,selected_agent_related_text_preserved,427,12,12,0,True,"[""Keyword hits do not establish autonomous authorship or current activity."", ""Copies in investigator repositories are provenance layers, not independent observations."", ""Only named saved material was searched; deleted, private, unenumerated and uncaptured pages can be missing."", ""Only saved inventory/research references inspected here; remote bodies not searched during this pass. File count is not page count or completed crawl proof."", ""content_or_template quality means non-blocked text, not a verified substantive page; metadata and secondary notes remain separate.""]","[""research-workspaces/chennai/.context/hunt-20260905/devbox/directory-inventory.json""]",selected artifacts and existing public subsets; whole-site completeness not established
paste.daknob.net,paste.daknob.net,https://paste.daknob.net/,pastebins,selected_known_historical_bodies_newly_preserved,no_selected_agent_text_in_compilation,0,0,0,0,False,"[""Prior site coverage is a bounded sample, not a full site census."", ""Text indicators do not establish model, operator, compromise, or currently active agents."", ""Two selected known archive identities preserved; remaining prior reviewed captures are metadata/review only."", ""Unavailable, unlisted, private, deleted, and nonselected historical bodies remain gaps; no negative result establishes absence of agent activity.""]","[""research-workspaces/chennai/.context/hunt-20260905/local/current-research/queued-host-pass-20260905/merged-coverage/coverage-overlay.json"", ""research-workspaces/malabo/.context/research/commoncrawl/body-run2/body-log.json""]",selected artifacts and existing public subsets; whole-site completeness not established
paste.steamr.com,paste.steamr.com,https://paste.steamr.com/,pastebins,prior_concrete_paste_bodies_reused,responses_preserved_authorship_or_body_unresolved,0,1,1,0,False,"[""Prior site coverage is a bounded sample, not a full site census."", ""Text indicators do not establish model, operator, compromise, or currently active agents."", ""Unavailable, unlisted, private, deleted, and nonselected historical bodies remain gaps; no negative result establishes absence of agent activity.""]","[""research-workspaces/chennai/.context/hunt-20260905/local/current-research/queued-host-pass-20260905/merged-coverage/coverage-overlay.json"", ""research-workspaces/malabo/.context/research/commoncrawl/body-run1/body-log.json"", ""research-collections/agent-trace-2026-09-04/sources/agent-text-pack.tar.gz"", ""research-workspaces/malabo/results/candidate-records.csv""]",selected artifacts and existing public subsets; whole-site completeness not established
p.gaa.st,p.gaa.st,https://p.gaa.st/,pastebins,prior_concrete_paste_bodies_reused,responses_preserved_authorship_or_body_unresolved,0,1,1,0,False,"[""Prior site coverage is a bounded sample, not a full site census."", ""Text indicators do not establish model, operator, compromise, or currently active agents."", ""Unavailable, unlisted, private, deleted, and nonselected historical bodies remain gaps; no negative result establishes absence of agent activity.""]","[""research-workspaces/chennai/.context/hunt-20260905/local/current-research/queued-host-pass-20260905/merged-coverage/coverage-overlay.json"", ""research-workspaces/malabo/.context/research/commoncrawl/body-run1/body-log.json"", ""research-collections/agent-trace-2026-09-04/sources/agent-text-pack.tar.gz"", ""research-workspaces/malabo/results/candidate-records.csv""]",selected artifacts and existing public subsets; whole-site completeness not established
pb.dynavirt.com,pb.dynavirt.com,https://pb.dynavirt.com/,pastebins,prior_concrete_paste_bodies_reused,responses_preserved_authorship_or_body_unresolved,0,1,1,0,False,"[""Prior site coverage is a bounded sample, not a full site census."", ""Text indicators do not establish model, operator, compromise, or currently active agents."", ""Unavailable, unlisted, private, deleted, and nonselected historical bodies remain gaps; no negative result establishes absence of agent activity.""]","[""research-workspaces/chennai/.context/hunt-20260905/local/current-research/queued-host-pass-20260905/merged-coverage/coverage-overlay.json"", ""research-collections/agent-trace-2026-09-04/sources/agent-text-pack.tar.gz"", ""research-workspaces/malabo/results/candidate-records.csv""]",selected artifacts and existing public subsets; whole-site completeness not established
pastie.iem.at,pastie.iem.at,https://pastie.iem.at/,pastebins,selected_known_historical_bodies_newly_preserved,responses_preserved_authorship_or_body_unresolved,0,1,1,0,False,"[""Prior site coverage is a bounded sample, not a full site census."", ""Text indicators do not establish model, operator, compromise, or currently active agents."", ""Two selected known archive identities preserved; remaining prior reviewed captures are metadata/review only."", ""Unavailable, unlisted, private, deleted, and nonselected historical bodies remain gaps; no negative result establishes absence of agent activity.""]","[""research-workspaces/chennai/.context/hunt-20260905/local/current-research/queued-host-pass-20260905/merged-coverage/coverage-overlay.json"", ""research-workspaces/malabo/.context/research/commoncrawl/body-run1/body-log.json""]",selected artifacts and existing public subsets; whole-site completeness not established
nervesocket.com/paste,nervesocket.com,https://nervesocket.com/paste/,pastebins,prior_concrete_paste_bodies_reused,no_selected_agent_text_in_compilation,0,1,1,1,False,"[""Prior site coverage is a bounded sample, not a full site census."", ""Text indicators do not establish model, operator, compromise, or currently active agents."", ""Unavailable, unlisted, private, deleted, and nonselected historical bodies remain gaps; no negative result establishes absence of agent activity.""]","[""research-workspaces/chennai/.context/hunt-20260905/local/current-research/queued-host-pass-20260905/merged-coverage/coverage-overlay.json"", ""research-workspaces/chisinau/archive/she-llac/CROSS_SITE_CONNECTIONS.md"", ""research-collections/agent-trace-2026-09-04/sources/agent-text-pack.tar.gz"", ""research-workspaces/malabo/results/candidate-records.csv""]",selected artifacts and existing public subsets; whole-site completeness not established
paste.smirky.net,paste.smirky.net,https://paste.smirky.net/,pastebins,prior_concrete_paste_bodies_reused,responses_preserved_authorship_or_body_unresolved,0,2,2,0,False,"[""Prior site coverage is a bounded sample, not a full site census."", ""Text indicators do not establish model, operator, compromise, or currently active agents."", ""Unavailable, unlisted, private, deleted, and nonselected historical bodies remain gaps; no negative result establishes absence of agent activity.""]","[""research-workspaces/chennai/.context/hunt-20260905/local/current-research/queued-host-pass-20260905/merged-coverage/coverage-overlay.json"", ""research-workspaces/brisbane/.context/research/prior_evidence.md"", ""research-collections/agent-trace-2026-09-04/sources/agent-text-pack.tar.gz"", ""research-workspaces/malabo/results/candidate-records.csv""]",selected artifacts and existing public subsets; whole-site completeness not established
pastebin.faster-it.de,pastebin.faster-it.de,https://pastebin.faster-it.de/,pastebins,prior_concrete_paste_bodies_reused,responses_preserved_authorship_or_body_unresolved,0,3,3,0,False,"[""Prior site coverage is a bounded sample, not a full site census."", ""Text indicators do not establish model, operator, compromise, or currently active agents."", ""Unavailable, unlisted, private, deleted, and nonselected historical bodies remain gaps; no negative result establishes absence of agent activity.""]","[""research-workspaces/chennai/.context/hunt-20260905/local/current-research/queued-host-pass-20260905/merged-coverage/coverage-overlay.json"", ""research-workspaces/brisbane/.context/research/prior_evidence.md"", ""research-workspaces/chisinau/archive/she-llac/CROSS_SITE_CONNECTIONS.md"", ""research-collections/agent-trace-2026-09-04/sources/agent-text-pack.tar.gz"", ""research-workspaces/malabo/results/candidate-records.csv""]",selected artifacts and existing public subsets; whole-site completeness not established
minetest.wjake.com/stikked,minetest.wjake.com,https://minetest.wjake.com/stikked/,pastebins,selected_known_historical_bodies_newly_preserved,responses_preserved_authorship_or_body_unresolved,0,1,1,0,False,"[""Prior site coverage is a bounded sample, not a full site census."", ""Text indicators do not establish model, operator, compromise, or currently active agents."", ""Two selected known archive identities preserved; remaining prior reviewed captures are metadata/review only."", ""Unavailable, unlisted, private, deleted, and nonselected historical bodies remain gaps; no negative result establishes absence of agent activity.""]","[""research-workspaces/chennai/.context/hunt-20260905/local/current-research/queued-host-pass-20260905/merged-coverage/coverage-overlay.json"", ""research-workspaces/brisbane/.context/research/prior_evidence.md"", ""research-workspaces/malabo/.context/research/commoncrawl/body-run1/body-log.json""]",selected artifacts and existing public subsets; whole-site completeness not established
geopaste.scratchbook.ch,geopaste.scratchbook.ch,https://geopaste.scratchbook.ch/,pastebins,unavailable_or_access_challenge_no_paste_body,no_selected_agent_text_in_compilation,0,0,0,0,True,"[""Prior site coverage is a bounded sample, not a full site census."", ""Text indicators do not establish model, operator, compromise, or currently active agents."", ""https://geopaste.scratchbook.ch/robots.txt: URLError: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'geopaste.scratchbook.ch'. (_ssl.c:1082)>"", ""https://geopaste.scratchbook.ch/: URLError: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'geopaste.scratchbook.ch'. (_ssl.c:1082)>"", ""Unavailable, unlisted, private, deleted, and nonselected historical bodies remain gaps; no negative result establishes absence of agent activity.""]","[""research-workspaces/malabo/.context/research/pastes.md""]",selected artifacts and existing public subsets; whole-site completeness not established
paste.evervolv.com,paste.evervolv.com,https://paste.evervolv.com/,pastebins,selected_known_historical_bodies_newly_preserved,no_selected_agent_text_in_compilation,0,1,0,0,False,"[""Prior site coverage is a bounded sample, not a full site census."", ""Text indicators do not establish model, operator, compromise, or currently active agents."", ""Two selected known archive identities preserved; remaining prior reviewed captures are metadata/review only."", ""Unavailable, unlisted, private, deleted, and nonselected historical bodies remain gaps; no negative result establishes absence of agent activity.""]","[""research-workspaces/chennai/.context/hunt-20260905/local/current-research/queued-host-pass-20260905/merged-coverage/coverage-overlay.json"", ""research-workspaces/malabo/.context/research/commoncrawl/body-run1/body-log.json""]",selected artifacts and existing public subsets; whole-site completeness not established
nopaste.ceske-hry.cz,nopaste.ceske-hry.cz,https://nopaste.ceske-hry.cz/,pastebins,unavailable_or_access_challenge_no_paste_body,no_selected_agent_text_in_compilation,0,0,0,0,True,"[""Prior site coverage is a bounded sample, not a full site census."", ""Text indicators do not establish model, operator, compromise, or currently active agents."", ""https://nopaste.ceske-hry.cz/robots.txt: URLError: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1082)>"", ""https://nopaste.ceske-hry.cz/: URLError: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1082)>"", ""Unavailable, unlisted, private, deleted, and nonselected historical bodies remain gaps; no negative result establishes absence of agent activity.""]","[""research-workspaces/chennai/.context/hunt-20260905/local/current-research/queued-host-pass-20260905/merged-coverage/coverage-overlay.json""]",selected artifacts and existing public subsets; whole-site completeness not established
paste.luisaranguren.com / p.luis.im (counted once),paste.luisaranguren.com,https://paste.luisaranguren.com/,pastebins,selected_known_historical_bodies_newly_preserved,no_selected_agent_text_in_compilation,0,0,0,0,False,"[""Prior site coverage is a bounded sample, not a full site census."", ""Text indicators do not establish model, operator, compromise, or currently active agents."", ""Two selected known archive identities preserved; remaining prior reviewed captures are metadata/review only."", ""Unavailable, unlisted, private, deleted, and nonselected historical bodies remain gaps; no negative result establishes absence of agent activity.""]","[""research-workspaces/chennai/.context/hunt-20260905/local/current-research/queued-host-pass-20260905/merged-coverage/coverage-overlay.json"", ""research-workspaces/malabo/.context/research/commoncrawl.md"", ""research-workspaces/brisbane/.context/research/prior_evidence.md"", ""research-workspaces/malabo/.context/research/commoncrawl/body-run3/body-log.json"", ""research-workspaces/malabo/.context/research/commoncrawl/body-run1/body-log.json""]",selected artifacts and existing public subsets; whole-site completeness not established
paste.nosupamu.de,paste.nosupamu.de,https://paste.nosupamu.de/,pastebins,current_recent_listing_titles_complete_bodies_not_crawled,no_selected_agent_text_in_compilation,0,0,0,0,True,"[""Prior site coverage is a bounded sample, not a full site census."", ""Text indicators do not establish model, operator, compromise, or currently active agents."", ""Unavailable, unlisted, private, deleted, and nonselected historical bodies remain gaps; no negative result establishes absence of agent activity.""]",[],selected artifacts and existing public subsets; whole-site completeness not established
paste.centos.org,paste.centos.org,https://paste.centos.org/,pastebins,homepage_only_no_exposed_listing_recovered,responses_preserved_authorship_or_body_unresolved,0,1,1,0,True,"[""Prior site coverage is a bounded sample, not a full site census."", ""Text indicators do not establish model, operator, compromise, or currently active agents."", ""Unavailable, unlisted, private, deleted, and nonselected historical bodies remain gaps; no negative result establishes absence of agent activity."", ""Current homepage has no exposed Recent listing navigation. Homepage capture is not a completed site scrape.""]","[""research-workspaces/chennai/.context/hunt-20260905/local/current-research/queued-host-pass-20260905/merged-coverage/coverage-overlay.json""]",selected artifacts and existing public subsets; whole-site completeness not established
pastebin.freepbx.org,pastebin.freepbx.org,https://pastebin.freepbx.org/,pastebins,homepage_only_no_exposed_listing_recovered,responses_preserved_authorship_or_body_unresolved,0,1,1,0,True,"[""Prior site coverage is a bounded sample, not a full site census."", ""Text indicators do not establish model, operator, compromise, or currently active agents."", ""Unavailable, unlisted, private, deleted, and nonselected historical bodies remain gaps; no negative result establishes absence of agent activity."", ""Current homepage has no exposed Recent listing navigation. Homepage capture is not a completed site scrape.""]","[""research-workspaces/chennai/.context/hunt-20260905/local/current-research/queued-host-pass-20260905/merged-coverage/coverage-overlay.json""]",selected artifacts and existing public subsets; whole-site completeness not established
paste.lightcast.com,paste.lightcast.com,https://paste.lightcast.com/,pastebins,homepage_only_no_exposed_listing_recovered,responses_preserved_authorship_or_body_unresolved,0,1,1,0,True,"[""Prior site coverage is a bounded sample, not a full site census."", ""Text indicators do not establish model, operator, compromise, or currently active agents."", ""Unavailable, unlisted, private, deleted, and nonselected historical bodies remain gaps; no negative result establishes absence of agent activity."", ""Current homepage has no exposed Recent listing navigation. Homepage capture is not a completed site scrape.""]","[""research-workspaces/chennai/.context/hunt-20260905/local/current-research/queued-host-pass-20260905/merged-coverage/coverage-overlay.json""]",selected artifacts and existing public subsets; whole-site completeness not established
paste.jamesdooley.us,paste.jamesdooley.us,https://paste.jamesdooley.us/,pastebins,homepage_only_no_exposed_listing_recovered,responses_preserved_authorship_or_body_unresolved,0,1,1,0,True,"[""Prior site coverage is a bounded sample, not a full site census."", ""Text indicators do not establish model, operator, compromise, or currently active agents."", ""Unavailable, unlisted, private, deleted, and nonselected historical bodies remain gaps; no negative result establishes absence of agent activity."", ""Current homepage has no exposed Recent listing navigation. Homepage capture is not a completed site scrape.""]","[""research-workspaces/chennai/.context/hunt-20260905/local/current-research/queued-host-pass-20260905/merged-coverage/coverage-overlay.json""]",selected artifacts and existing public subsets; whole-site completeness not established
paste.ie,paste.ie,https://paste.ie/,pastebins,homepage_only_no_exposed_listing_recovered,responses_preserved_authorship_or_body_unresolved,0,2,2,0,True,"[""Prior site coverage is a bounded sample, not a full site census."", ""Text indicators do not establish model, operator, compromise, or currently active agents."", ""Unavailable, unlisted, private, deleted, and nonselected historical bodies remain gaps; no negative result establishes absence of agent activity."", ""Current homepage has no exposed Recent listing navigation. Homepage capture is not a completed site scrape.""]","[""research-workspaces/chennai/.context/hunt-20260905/local/current-research/queued-host-pass-20260905/merged-coverage/coverage-overlay.json""]",selected artifacts and existing public subsets; whole-site completeness not established
expaste.com,expaste.com,https://expaste.com/,pastebins,public_listing_or_archive_page_only,responses_preserved_authorship_or_body_unresolved,0,3,2,1,True,"[""Prior site coverage is a bounded sample, not a full site census."", ""Text indicators do not establish model, operator, compromise, or currently active agents."", ""Unavailable, unlisted, private, deleted, and nonselected historical bodies remain gaps; no negative result establishes absence of agent activity."", ""Archive page returned a language-category shell without visible paste rows.""]","[""research-workspaces/chennai/.context/hunt-20260905/local/current-research/queued-host-pass-20260905/merged-coverage/coverage-overlay.json""]",selected artifacts and existing public subsets; whole-site completeness not established
flynnos.org,flynnos.org,https://flynnos.org/flynnbin/,pastebins,public_listing_or_archive_page_only,responses_preserved_authorship_or_body_unresolved,0,2,2,0,True,"[""Prior site coverage is a bounded sample, not a full site census."", ""Text indicators do not establish model, operator, compromise, or currently active agents."", ""Unavailable, unlisted, private, deleted, and nonselected historical bodies remain gaps; no negative result establishes absence of agent activity."", ""217 Recent pages advertised; first three plus one Trending page sampled. Four exposed GET title searches: OpenAI, Iowa, markdown.new, AgentLinksBridge. No returned paste rows. Not a full body/history search.""]","[""research-workspaces/chennai/.context/hunt-20260905/local/current-research/queued-host-pass-20260905/merged-coverage/coverage-overlay.json""]",selected artifacts and existing public subsets; whole-site completeness not established
paste.nyigc.net,paste.nyigc.net,https://paste.nyigc.net/,pastebins,homepage_only_no_exposed_listing_recovered,responses_preserved_authorship_or_body_unresolved,0,1,1,0,True,"[""Prior site coverage is a bounded sample, not a full site census."", ""Text indicators do not establish model, operator, compromise, or currently active agents."", ""Unavailable, unlisted, private, deleted, and nonselected historical bodies remain gaps; no negative result establishes absence of agent activity."", ""Current homepage has no exposed Recent listing navigation. Homepage capture is not a completed site scrape.""]","[""research-workspaces/chennai/.context/hunt-20260905/local/current-research/queued-host-pass-20260905/merged-coverage/coverage-overlay.json""]",selected artifacts and existing public subsets; whole-site completeness not established
